title,artist,album,isrc,isFound
"The Quiet Place","In Flames","Soundtrack to Your Escape",DED830370602,1
"My Last Serenade","Killswitch Engage","Alive or Just Breathing [Topshelf Edition]",NLA320219720,1
"My Curse","Killswitch Engage","As Daylight Dies (Special Edition)",NLA320682675,1
"Masif Hardcore 2008 [CD1 - Mixed by Scott Brown]","Various Artists","Masif Hardcore 2008",USQY50921020,1
"Riverside - Radio Mix","Sidney Samson",Riverside,NLC280910261,1
"Maniac 2001 (Radio Edit) - Radio Edit",Terence,"Maniac 2001",DEE990100381,1
"World Is Mine","Showtek, MC Turk","World Is Mine / We Speak Music",NLDD60900042,1
"We Speak Music",Showtek,"World Is Mine / We Speak Music",NLDD60900043,1
"Shout Out (Feat MC.DV8 - Original Mix)","Showtek, Mc DV8","Tecktonik Dance Contest",FRY680800090,1
"Sexplosion (Radio Edit)","East Clubbers","Never Enough",USA560873191,1
"Episode 666","In Flames",Whoracle,DED839739009,1
"On The Beach - Radio Edit","Sonic Palms","On The Beach",DEN060900338,1
"You Wanna Rock",Pakito,Video,FR0F30680470,1
"Holy Diver","Killswitch Engage","As Daylight Dies (Special Edition)",NLA320785927,1
"Bajs i Bastun","Tunnan Moroten","Bajs of Snopp",SEYOK0910840,1
"Thunder In Paradise","Beam vs Cyrus",Lifestyle,DEA340000705,1
Lifestyle,"Beam vs Cyrus",Lifestyle,DEA340100925,1
"Sexy Bitch","David Guetta","One Love",FRZID0900500,1
"Destination Calabria (Radio Edit)","Alex Gaudino","Destination Calabria",ITL010600343,1
"Masif Hardcore 2008 [CD2 - Mixed by Kevin Energy vs Sharkey]","Various Artists","Masif Hardcore 2008",USQY50921021,1
"Move, Shake, Drop","DJ Laz","Latin World Hip Hop Reloaded 1",USKO10901378,1
"One Night In Bangkok",Vinylshakerz,"One Night In Bangkok (Vinylshakerz Sceen Cut)",DEN060500032,1
"Push The Feeling On - Belocca's Radio Edit",Nightcrawlers,"New Years Party 2012",NLQ200700162,1
"Blah Blah Blah",Kesha,Animal,USRC10900738,1
"Runka To The Hills","Tunnan & Moroten","Greatest Shits",SEYOK0910805,1
"Memories (feat. Kid Cudi)","David Guetta Kid Cudi","One More Love (Deluxe Version)",FRZID0900480,1
Always,Erasure,"Always - The Very Best of Erasure",GBAJH0801288,1
"A Little Respect",Erasure,"Hits! The Very Best Of Erasure",GBAJH9900159,1
"Always - 2009 Mix",Erasure,"Total Pop! - The First 40 Hits",GBAJH0801233,1
Alias,"In Flames","A Sense of Purpose",DED830703846,1
"Crowned In Despair","Sonic Syndicate","Eden Fire",USHM80525926,1
Godspeed,Anberlin,Cities,USTN10600291,1
"Paper Thin Hymn",Anberlin,"Never Take Friendship Personal",USTN10425373,1
Awake,"Mutiny Within","Mutiny Within",NLA320989070,1
"Master of Puppets",Trivium,"Roadrunner Undercover",NLA320681810,1
"Down from the Sky",Trivium,"Shogun (Special Edition)",NLA320887468,1
"Shadow In Our Blood","Dark Tranquillity","We Are The Void",US4E40965501,1
"The Wonders At Your Feet","Dark Tranquillity","Exposures - In Retrospect And Denial",GBDHC0450313,1
"Lost To Apathy","Dark Tranquillity","Alone In The Dark",DED830482707,1
Denied,"Sonic Syndicate","Only Inhuman - Tour Edition",DED830797905,1
"You Spin Me Round (Like A Record)",Dope,"Felons and Revolutionaries",USSM10008762,1
Debonaire,Dope,"Felons and Revolutionaries",USSM19901518,1
"Die Romantic",Aiden,"Nightmare Anatomy",USVIC0525903,1
"This Calling","All That Remains","All That Remains: Live",USRZR0798311,1
"Six - Live","All That Remains","All That Remains (Live)",USRZR0798303,1
Higher,"Axel Rudi Pell","Tales of the Crown",DEA450817750,1
"The Wonders at Your Feet [Bonus Track] - Live in Milan 2008","Dark Tranquillity","Haven (Re-issue + Bonus)",US4E40961915,1
"In My Absence","Dark Tranquillity","We Are The Void",US4E40965504,1
"Goliaths Disarm Their Davids","In Flames","The Jester Race (Reissue 2014)",DED839700501,1
"From Yesterday","Thirty Seconds to Mars","A Beautiful Lie",USVI20500138,1
"Kings And Queens","Thirty Seconds To Mars","This Is War",USVI20900397,1
"Take This Oath","Killswitch Engage","The End Of Heartache [Special Edition]",NLA320420751,1
Requiem,Trivium,"Ember to Inferno: Ab Initio",US94P0504005,1
"In Venere Veritas",HIM,"Screamworks: Love in Theory and Practice (Deluxe Version)",USRE10902017,1
"The Funeral of Hearts",HIM,"Love Metal",FIBAR0300005,1
"Vampire Heart",HIM,"Dark Light",USWB10503874,1
"Killing Loneliness",HIM,"Killing Loneliness",USWB10503870,1
"Dark Light",HIM,"Dark Light (Standard Version)",USWB10503872,1
"Behind The Crimson Door",HIM,"Dark Light (Standard Version)",USWB10503871,1
"Possessing The Angels",Soilwork,"The Chainheart Machine",FR6V89900380,1
"Pour Some Sugar On Me - Video Edit","Def Leppard","Vault: Def Leppard Greatest Hits (1980–1995)",GBF089500390,1
"Dead Eyes (See No Future)","Arch Enemy","Alone In The Dark",DED830482706,1
"Dying in Your Arms",Trivium,Ascendancy,NLA320480976,1
"Pull Harder On the Strings of Your Martyr",Trivium,Ascendancy,NLA320480970,1
"November Rain","Guns N' Roses","Use Your Illusion I",USGF19141510,1
"Is This Love - 2003 Remaster",Whitesnake,"The Silver Anniversary Collection",GB01A0300030,1
"Oops...I Did It Again","Max Raabe  Palast Orchester","Superhits präsentiert vom Palast Orchester mit seinem Sänger Max Raabe",DEC760000448,1
"Fox On The Run",Sweet,"Chronology - The Best Of Sweet",USFJ70600214,1
"Sympathy For The Devil","The Rolling Stones","The Rolling Stones Singles Collection: The London Years",USA176810010,1
"Through Glass","Stone Sour","Come What(ever) May",NLA320682289,1
"Wicked Game [Live Acoustic]","Stone Sour","Roadrunner Undercover",NLA320784286,1
"Personal Jesus","Depeche Mode","The Best of Depeche Mode, Vol. 1 (Deluxe)",GBAJH0602195,1
30/30-150,"Stone Sour","Come What(ever) May",NLA320682263,1
"The Gods Made Heavy Metal",Manowar,"Louder Than Hell",USGF19692503,1
"Brothers Of Metal (Part 1)",Manowar,"Louder Than Hell",USGF19692502,1
"Dial 595-Escape","In Flames","Soundtrack To Your Escape",DED830370611,1
"Face Down","The Red Jumpsuit Apparatus","Don't You Fake It",USVI20600108,1
"False Pretense","The Red Jumpsuit Apparatus","Don't You Fake It",USVI20600149,1
"Pen & Paper","The Red Jumpsuit Apparatus","Pen & Paper",USVI20800481,1
"Your Guardian Angel","The Red Jumpsuit Apparatus","Don't You Fake It",USVI20600156,1
"Face Down","The Red Jumpsuit Apparatus","Don't You Fake It",USVI20600108,1
"The Arms of Sorrow","Killswitch Engage","As Daylight Dies (Special Edition)",NLA320682667,1
"Eyes Of The Crow","Darrell Deese","The Lost",,1
Heartbreaker,"Axel Rudi Pell","The Ballads III",DEA450404480,1
"The Eyes Of The Lost","Axel Rudi Pell","The Ballads II",DEA459700310,1
"In My Head","Jason Derulo","In My Head",USWB10904633,1
"Masif Hardcore 2008 [CD3 - Mixed by Weaver]","Various Artists","Masif Hardcore 2008",USQY50921022,1
"First Encounter - Original Mix","Chris Metcalfe","25 Trance Essentials, Vol. 10",NLF710903603,1
Sandstorm,Darude,"Before the Storm",FISGC9900001,1
"Karaoke - Heaven","Karaoke - D J Sammy Feat. Yanou","Karaoke - Female Chart Hits Vol. 4",USA560599423,1
"Me And You","Dj Suri, Marcos DB, Andre Vicenzzo","Cover Power",ES5051000041,1
Bulletproof,"La Roux","La Roux",GBUM70903779,1
"Jumping & Pumping - Tube Tonic & DJ Shandar RMX Edit","DJ Roxx","Jumping & Pumping",DET190801099,1
"Jumping & Pumping","DJ ROXX","Bounce! Christmas Edition Vol. 2 (The Finest in Dance, Trance, Jump & Hardstyle)",DET190801098,1
"Rock The Bass - Extended Mix","DJ Roxx","Rock the Bass",DET190901562,1
"Rock The Bass (Megara vs. DJ Lee Remix)","DJ ROXX","Rock the Bass",DET190901507,1
"Rock The Bass (Maziano Remix)","DJ ROXX","Rock the Bass",DET190901563,1
