title,artist,album,isrc,isFound
"Death Stranding",CHVRCHES,"DEATH STRANDING: Timefall (Original Music from the World of Death Stranding)",GBZN81900001,1
Chaeri,"Magdalena Bay",Chaeri,QM6N22162298,1
"You Lose!","Magdalena Bay","You Lose!",QM6N22162296,1
"Secrets (Your Fire)","Magdalena Bay","Secrets (Your Fire)",QM6N22162295,1
"Hell on Earth, Pt. 2","Westside Gunn","Hitler Wears Hermes 8: Side B",USUYG1390876,1
"Ben Değilim",Karma,"Ben Değilim",QZNWT2110135,1
"Mercurial World","Magdalena Bay","Mercurial World",QM6N22162293,1
Rainbow,"Bladee, Mechatok","Good Luck",SE5AJ2001216,1
"I Think...",Bladee,"The Fool",SE5AJ2101362,1
Bby,Bladee,"The Fool",SE5AJ2101366,1
"Hotel Breakfast",Bladee,"The Fool",SE5AJ2101531,1
"You & I",Dabeull,"Intimate Fonk",FR2X41988185,1
"Lose My Cool (Franc Moody Remix)","Amber Mark","Lose My Cool (Remixes)",GBUM71702084,1
"These Are Just Places To Me Now",Folamour,"Ordinary Drugs",GBKQU1905220,1
Estrelar,"Marcos Valle","Marcos Valle",BRSGL8300152,1
"10% (feat. Kali Uchis)",KAYTRANADA,BUBBA,USRC11901973,1
"Love You so Much","Dabeull, Kunta, Darius","Love You so Much",FR2X41988183,1
Time,"Kartell, Qendresa, Coops",Time,FRX872015731,1
42,"Pi'erre Bourne","The Life Of Pi'erre 5",USUM72109086,1
fafo,"Zack Fox",fafo,US25X2104822,1
"Real As It Gets","Lil Baby, EST Gee","Real As It Gets",USUG12100126,1
"love nwantiti (feat. ElGrande Toto) (North African Remix)",CKay,"love nwantiti (feat. ElGrande Toto) (North African Remix)",ZA34K2000415,1
"love nwantiti (feat. Dj Yo! & AX'EL) - Remix","CKay, DJ Yo, AX'EL","love nwantiti (feat. Dj Yo! & AX'EL) [Remix]",QZHN32199953,1
Alcohol,Joeboy,Alcohol,QZS7J2197906,1
Baka,"Antoi, Buju",Baka,QZK6L2119129,1
"Essence (feat. Justin Bieber & Tems)",Wizkid,"Made In Lagos (Deluxe)",USRC12102450,1
Bounce,Ruger,PANDEMIC,GBARL2100161,1
"Rude Boy (feat. Minz)",Chimzy,"Insomnia - EP",NLRD51968578,1
"Gimmie (feat. Rema)","Diamond Platnumz","Gimmie (feat. Rema)",ZA41S2101946,1
Understand,"Omah lay",Understand,USWB12101758,1
"What's Gwanin","Zarion Uti, Toyé","My Arahya",NLRD51968567,1
Feeling,"LADIPOE Buju","Feeling - Single",NGA3B2112002,1
"Tigini - Remix","Kikimoteleba, Franglish","Tigini (Remix)",FRD8V2100417,1
"BHM - Deezer Black History Month Sessions","Kalash Criminel","Deezer Black History Month Sessions",DGA072169141,1
"Billets mauves",KeBlack,"Billets mauves",FR96X2187973,1
Sagacité,MHD,Mansa,FR3IV2100140,1
Sunshine,"DJ Hamida",Sunshine,FR9W12119713,1
"Gwo model",Kalash,"Gwo model",FR8FB2101000,1
"FUM22 NOCIVE","Green Montana","MELANCHOLIA 999",FRUM72100804,1
Ciao,"Lynda, Imen Es",Ciao,FRUM72101872,1
"Let Go","Sharon Van Etten","Let Go",US38Y2039001,1
Winnin,"Chief Keef, King Louie","Back from the Dead",TCABE1269468,1
"ULTRA VIOLET",Thouxanbanfauni,CLAIRVOYANCE,CA5KR2062061,1
"4 The Betta",Lucki,"Days B4 III",USUYG1275905,1
War,"Chief Keef","The Leek (Vol. 1)",USZEG1500775,1
Michigan,Chavo,"This World",QZNMX2113902,1
1985,"Freddie Gibbs The Alchemist",Alfredo,USUYG1314081,1
"I'm God","Lil B","6 Kiss",TCADP1842619,1
"EA (feat. 21 Savage)","Young Nudy","SlimeBall 2",QZ5FA1751439,1
"Crimewave (Crystal Castles vs. HEALTH)","Crystal Castles","Crystal Castles",GBRQQ0700001,1
"Walking at a Downtown Pace","Parquet Courts","Walking at a Downtown Pace",GBCVZ2000194,1
"Black Widow Spider","Parquet Courts","Black Widow Spider",GBCVZ2000195,1
"Marathon of Anger","Parquet Courts","Sympathy for Life",GBCVZ2100220,1
"Just Shadows","Parquet Courts","Sympathy for Life",GBCVZ2000197,1
"Plant Life","Parquet Courts","Sympathy for Life",GBCVZ2000198,1
"Every Time the Sun Comes Up","Sharon Van Etten","Are We There",US38Y1425511,1
"I Wrote in Blood","Still Corners","Creatures of an Hour",USSUB1194006,1
19,"Various Artists, A$AP Rocky, Sauce Walka",ZUSHI,USYBL2000755,1
"B.O.R. (Birth of Rap)","Lil B","6 Kiss",TCADP1842617,1
"Lost Boys","Sir Michael Rocks",Banco,USA2P1400687,1
